"Part";"Value";"Device";"Package";"Description";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"PARTNUMBER";"REFDES";"SPICEPREFIX";"TYPE";"VALUE";
"C11";"2.2nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"C12";"6.8uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"C13";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"C14";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"C15";"100uF";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"C16";"100uF";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"C17";"10uF";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"C19";"1uF";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"C20";"2.2uF";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"C";"";"";
"CN1";"";"DCBARRELPTH";"DCJACK_2MM_PTH";"2.0mm DC Barrel Jack";"";"";"";"";"";"X";"";"";
"D3";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";"";"";"";
"D4";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";"";"";"";
"IC3";"LM7912";"79XXL";"79XXL";"VOLTAGE REGULATOR";"";"";"";"";"";"J";"";"";
"L1XAL4020-102MEB";"1uH";"L-EUL5038P";"L5038P";"INDUCTOR, European symbol";"";"";"";"";"";"L";"";"";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";
"LED2";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";
"LED3";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";
"R3";"500R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"R";"";"";
"R4";"500R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"R";"";"";
"R5";"500R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"R";"";"";
"R6";"1.62M";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"R";"";"";
"R7";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"R";"";"";
"R8";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"R";"";"";
"R9";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"R";"";"";
"U$1";"2.1MMJACKTHM";"2.1MMJACKTHM";"PJ-102A";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";"";"";"";"";"";"";"";
"U$2";"MPS751";"MPS751";"TO92-EBC";"";"";"";"";"";"";"";"";"";
"U2";"Value";"TPS62135RGXR";"RGX0011A";"";"Texas Instruments";"Texas Instruments";"TPS62135RGXR";"TPS62135RGXR";"RefDes";"";"TYPE";"Value";
"X1";"332-16";"332-16";"332-16";"16 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";
"X2";"332-16";"332-16";"332-16";"16 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";
"X3";"332-16";"332-16";"332-16";"16 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";
"X4";"332-16";"332-16";"332-16";"16 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";
"X5";"332-16";"332-16";"332-16";"16 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";
"X6";"332-16";"332-16";"332-16";"16 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";
"X7";"332-16";"332-16";"332-16";"16 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";
"X8";"332-16";"332-16";"332-16";"16 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";
